topic,topic_desc,topic_desc_basic,knowledge_class,knowledge_class_basic,aliases,tags
Slave Master Wada,,"Slave Master Wada is a slave master of the Traders Guild who lives in a guarded noble house in Port South. He is one of the Northern Slave Masters whose collective deaths stop Manhunter and Slave Hunter patrols in several regions. If he is killed, Port South becomes destroyed, and his death combined with certain other nobles can cause towns like Heft or Bark to fall into malnourished states or come under peasant rule.",,,"Slave Master Wada, Slave_Master_Wada","Bosses, Characters, Nobles, Slave Traders, Traders Guild, Unique"
Slave Mistress Grace,,"Slave Mistress Grace is a Scorchlander noble of the Traders Guild who oversees Slave Farm South in The Hook. She carries a masterwork wakizashi and is protected by heavily armed samurai and noble guards. Her death or imprisonment causes major shifts in power across The Hook, potentially freeing slave operations and halting slaver patrols in the region.",,,"Slave Mistress Grace, Slave_Mistress_Grace","Bosses, Characters, Nobles, Traders Guild, Unique"
Slave Mistress Ren,,"Slave Mistress Ren is a noble of the Traders Guild who oversees the Slave Farm near Heng. She carries a masterwork wakizashi and is protected by heavily armed guards. Her death or capture causes the Slave Farm to collapse and can trigger widespread consequences across the northern territories, including the appearance of rogue samurai and anti-slaver forces.",,,"Slave Mistress Ren, Slave_Mistress_Ren","Bosses, Characters, Nobles, Slave Traders, Traders Guild, Unique"
Slave Traders,,"The Slave Traders are a faction that captures, trades, and works slaves across various farms and mines throughout the land. They maintain close ties with the Holy Nation and United Cities, and are heavily influenced by the Traders Guild. Their mortal enemies are the Anti-Slavers led by Tinfist, who seek to destroy their operations. They run markets, farms, and mines where slaves are bought and sold, and they work alongside groups like the Manhunters and Slave Hunters.",,,"Slave Traders, Slave_Traders","Factions, Slave Traders, Slavers"
Slaver,,"Slavers are members of the Slave Traders faction who work as quartermasters, workmasters, and wardens at slave camps. They are also hired by the Holy Nation to manage slaves at the Holy Mines. These individuals typically wear basic armor and carry clubs to keep captives in line.",,,Slaver,"Characters, Holy Nation, Slave Traders, Slavers"
Slavery,,"Slavery is a widespread industry in Kenshi, where slavers and mercenaries capture criminals, vagrants, and unconscious people to sell into servitude or prison labor. The United Cities, Holy Nation, Slave Traders, and other factions actively participate in this trade, buying and selling captives for profit or punishment. Enslaved individuals are shackled, forced to work or fight, and kept barely fed to maintain their labor. Escaped slaves are hunted down, and those who are freed rarely forget who sold them into bondage.",,,Slavery,Guides
Small Time,,"Small Time was a minor Holy Nation town that once sat on a cliffside in the mountains north of Blister Hill. It had a few bars, a trade shop, and some shacks, but was eventually replaced by the slave camp known as Rebirth.",,,"Small Time, Small_Time",Removed Content
Smugglers Bar,,"Smugglers Bar is an outpost in Shem run by the Grayflayers, a faction known for dealing in illegal goods. The bar attracts smugglers, mercenaries, and various wanderers looking for work or a place to rest. It offers free beds upstairs and operates day and night, making it a popular stop for travelers in the region.",,,"Smugglers Bar, Smugglers_Bar",Locations
Sniper Valley,,"Sniper Valley is a dangerous zone in the southeastern corner of the continent, near the Ashlands. It is named for the frequent presence of Sniperbots and is one of the few regions where Leviathans roam. The area contains ancient ruins but no settlements or camps.",,,"Sniper Valley, Sniper_Valley","WIP, Zones"
Sniperbot,,"Sniperbots are skeletal machines from the Old Machines that patrol the southeastern regions, particularly Sniper Valley which is named after them. They travel alone and are hard to spot, often getting the first shot with their crossbow due to their exceptional marksmanship. They wear armoured rags and carry weapons made by an unknown manufacturer.",,,Sniperbot,Characters
Soldierbot,,Soldierbots are a specific model of Skeleton with superior combat abilities and vision compared to standard Skeletons. They heal faster and are immune to weather effects. Only one guaranteed Soldierbot can be recruited as a companion.,,,Soldierbot,Races
Sonorous Dark,,"Sonorous Dark is a dangerous peninsula region at the edge of the Ashlands, home to the Skin Bandits who kidnap and peel victims from nearby zones. The area is plagued by acid rain and roaming threats. It marks the beginning of the harsh Ashlands territory.",,,"Sonorous Dark, Sonorous_Dark",Zones
Sonorous Junk Reef,,"The Sonorous Junk Reef is a shallow water area south of the Sonorous Dark and west of the Ashlands, littered with twisted scrap metal and dormant Iron Spiders. It lies outside the usual inhabited zones of the world, so no one lives there and no hostile groups patrol it. The reef is quiet and abandoned, similar to other remote coastal areas.",,,"Sonorous Junk Reef, Sonorous_Junk_Reef","WIP, Zones"
South Stone Camp,,"South Stone Camp is a slave camp in Heng controlled by the Slave Traders, where slaves work the stone mines under Slave Master Ruben. The camp supplies stone to Heng, Trader's Edge, Heft, and parts of the southern Samurai Army. If Ruben is killed or imprisoned, the camp falls to ruins and its inhabitants disappear.",,,"South Stone Camp, South_Stone_Camp",Locations
South Wetlands,,"The South Wetlands is a swampy region marked by a large central lake and a slave market on its eastern side. It serves as the headquarters for the Swamp Ninjas, whose patrols frequently clash with their rivals, the Red Sabres. The area has no major towns, only scattered small settlements and outposts.",,,"South Wetlands, South_Wetlands",Zones
Southern Hive,,"The Southern Hive is a hostile faction of pink-skinned hivers dwelling in the Royal Valley and Greyshelf regions, ruled by the Queen of the South. They are fiercely xenophobic and attack any intruders or hiveless individuals on sight, often devouring or sacrificing them to their King. Southern Hivers are far more aggressive than their western cousins and refer to the outside world as ""the Faraway.",,,"Southern Hive, Southern_Hive","Factions, Hivers, Southern Hive"
Spider Factory,,"The Spider Factory is an ancient ruin on the Forbidden Isle, believed to have been built during an old war. It is now inhabited by numerous security spiders and iron spiders, commanded by a dangerous skeleton called the Spider Foreman who wields a legendary staff.",,,"Spider Factory, Spider_Factory",Locations
Spider Plains,,"The Spider Plains are vast hilly fields overrun with Skin Spiders, once part of Shek Kingdom territory but now largely abandoned. A few Shek bandit groups still roam the area, though the region is mostly wild and dangerous. There are no major settlements here, only scattered ruins and small outposts.",,,"Spider Plains, Spider_Plains",Zones
Spiders,,"Spiders are creatures that roam certain regions of the world, often gathering in groups. While most spiders belong to their own kind, some can be found living among other swamp dwellers. They can take over certain areas under the right circumstances.",,,Spiders,"Animals, Factions"
Spine Canyon,,"Spine Canyon is a long rocky plateau range that separates Skimsands from The Great Desert. The Bloodraiders and Sand Ninjas roam this small region, making it dangerous for travelers. There are no major towns or ancient ruins here, only temporary camps and wandering squads.",,,"Spine Canyon, Spine_Canyon",Zones
Splint Kit,,"A splint kit is a medical tool used to temporarily restore function to wounded body parts, like an injured leg, allowing someone to walk instead of limp. Splinted damage also helps protect limbs from being cut off in combat. Tech Hunters and Sand Ninjas are known to carry them, and they can be purchased at Traveling Gear Shops in United Cities territory.",,,"Splint Kit, Splint_Kit",Items
Spring,,Spring is a mountain-top town in Stobe's Gamble that serves as the base of the Anti-Slavers faction. The legendary warrior Tinfist resides in the faction headquarters here. Visitors allied with slavers or wearing enemy faction armor may be attacked by the guards.,,,Spring,Locations
Spring Bat,,"The Spring Bat is a modern crossbow invented by rebels during the early days of the United Cities. It was designed to pierce heavy armor worn by dominant military forces and is easy to build. However, it suffers from short range and poor accuracy, making it a risky weapon in close quarters.",,,"Spring Bat, Spring_Bat",Crossbows
Spring Steel,,"Spring Steel is a flexible metal used in making crossbows and machinery. It can be crafted at arrow making benches or purchased from mechanical shops, though it's not always available. This material is essential for crossbow construction and advanced locksmith training equipment.",,,"Spring Steel, Spring_Steel",Items
Squin,,"Squin is a town in the Border Zone controlled by the Shek Kingdom, located east of their capital Admag in a narrow canyon. The town runs on wind power and experiences frequent outages due to lack of batteries. Iron and copper can be mined nearby, though bandits roam the region and harass travelers.",,,Squin,"Locations, Shek Kingdom"
Stack,,"Stack is a large town on the edge of Holy Nation territory in Okran's Gulf. It has a decent variety of shops and is close to the Western Hive and the Hub, making it popular with traders. High Inquisitor Seta resides here, and the surrounding areas are often patrolled by weaker bandits and bonedogs.",,,Stack,"Holy Nation, Locations"
Standard First Aid Kit,,"A standard first aid kit contains bandages, disinfectant, and painkillers used to treat cuts and wounds. These kits are commonly carried by United Cities police, bounty hunters, and many wandering fighters. They can be crafted at medical workbenches by those who understand basic medicine.",,,"Standard First Aid Kit, Standard_First_Aid_Kit",Items
Starving Bandits,,"Starving Bandits are desperate outlaws who roam the wilds around Holy Nation territories, particularly in frontier regions like Okran's Gulf and Border Zone where law enforcement is weak. They are disorganized gangs of destitutes and thugs who survive through robbery and scavenging, attacking travelers and looting the unconscious for food. Though individually weak and untrained, they rely on overwhelming numbers and are hostile to everyone they encounter. Many eventually end up captured and enslaved in the Holy Mines or escape to join other outlaw groups.",,,"Starving Bandits, Starving_Bandits",Factions
Stenn Desert,,"The Stenn Desert is a barren, inhospitable region that serves as the homeland of the Shek people. It is plagued by bandits like Kral's Chosen and Berserkers, as well as roaming Skin Spiders that have migrated from the Spider Plains. The Shek capital of Admag is located here, along with various bandit strongholds. True to its name, it never rains in this harsh desert.",,,"Stenn Desert, Stenn_Desert",Zones
Stoat,,"Stoat is a United Cities town in the southwest Great Desert, governed by Lord Inaba from the Noble House. The town relies on supplies from a nearby stone camp and slave farm, and serves as the last major settlement when traveling east through the desert. It has four gates guarded by samurai and includes slums with wind generators and camp beds for the homeless.",,,Stoat,"Article stubs, Locations, United Cities"
Stobe,,"Stobe was an ancient skeleton of enormous size whose remains now lie in a region called Stobe's Garden. Many skeletons revere him as a martyr or deity, and some grow somber when near his corpse. The exact nature of his sacrifice is unknown, though some believe he may have stopped a catastrophic weapon launched by the Ancients to preserve life on Kenshi.",,,Stobe,"Characters, Lore"
Stobe's Gamble,,"Stobe's Gamble is a dangerous volcanic region named after Stobe, home to the Anti-Slavers and their capital city of Spring. The zone is infested with large swarms of landbats, skilled Karate Drifters, and even Leviathans, while ancient ruins are often guarded by Security Spiders. A hidden drug farm in the area grows hemp, a rare crop outside the Swamp.",,,"Stobe's Gamble, Stobe's_Gamble, Stobes Gamble",Zones
Stobe's Garden,,"Stobe's Garden is a dangerous region where Skeleton Bandits and Crab Raiders frequently clash with the Reavers who control the area. It is known as the final resting place of Stobe, an ancient figure. Bounty Hunters and Black Dragon Ninjas sometimes pass through, making it a hazardous place for travelers.",,,"Stobe's Garden, Stobe's_Garden, Stobes Garden",Zones
Stone Camp,,"Stone Camp is a slave labor camp in The Great Desert controlled by the Slave Traders, located roughly halfway between Stoat and Sho-Battai. Slaves work the stone mines here under the command of Slave Master Haga. The camp supplies stone to several United Cities settlements including Stoat, Heng, and Trader's Edge.",,,"Stone Camp, Stone_Camp",Locations
Stone Rats,,"The Stone Rats are a gang living in the Swamp, based in Shark and their own village led by Big Al. They are subservient to the Hounds and avoid angering them, as the Hounds consider them foolish and prone to making mistakes. If their leader is removed, they fall under direct Hounds control.",,,"Stone Rats, Stone_Rats",Factions
Stormgap Coast,,"Stormgap Coast is United Cities frontier territory that separates their lands from the wild southeastern regions like The Outlands and the Forbidden Zone. The area is frequented by Grass Pirates, Beak Things, and Rebel Farmers. It experiences coastal weather and serves as a buffer between civilization and the dangerous wilds beyond.",,,"Stormgap Coast, Stormgap_Coast",Zones
Stormthrall,,Stormthralls are skeleton guards who serve Cat-Lon at his Exile. They live in a separate dome but swarm Cat-Lon's chamber when he calls for them. These ancient warriors wear old samurai armor and wield weapons forged by skeleton smiths.,,,Stormthrall,Characters
Strawflour,,Strawflour is a raw ingredient made by milling wheatstraw in a grain silo. It cannot be eaten on its own but is combined with water in a bread oven to produce bread. Trade goods traders sell strawflour at various settlements.,,,Strawflour,"Farming, Items"
Surgeon,,Surgeons are Holy Nation shopkeepers who work in hospitals alongside doctors. They sell medical supplies and can perform facelifts for a fee. These men are typically found at military bases and major settlements in Holy Nation territory.,,,Surgeon,Characters
Swamp Ninja Base,,"The Swamp Ninja Hideout is the main base of the Swamp Ninjas, located in the South Wetlands. It is home to many ninja warriors of various ranks and their leader, Shade. The hideout serves as the central stronghold for this secretive faction.",,,"Swamp Ninja Base, Swamp_Ninja_Base",Locations
Swamp Ninjas,,"The Swamp Ninjas are a faction from The Swamp who act as an informal enforcement group amid the region's chaotic gang conflicts. They are rivals of the Red Sabres and operate from their base in the South Wetlands, led by a boss named Shade. They wear distinctive masks and ragged clothing suited for the wetlands, and arm themselves with blades like ninja swords and guardless katanas.",,,"Swamp Ninjas, Swamp_Ninjas","Factions, Ninja"
Swamp Raptor,,"Swamp Raptors are docile reptilian creatures that roam in large groups throughout the Swamp and nearby regions. They are stronger and pointier than River Raptors, and share a ravenous appetite for crops, making them a constant threat to hemp farms. They are also known to feed on corpses, and a rare larger variant called the Megaraptor exists.",,,"Swamp Raptor, Swamp_Raptor","Animals, Characters, Raptors"
Swamp Turtle,,"Swamp Turtles are tall, slow-moving creatures found in swamplands with wrinkly green skin, long snouts, and wide shells resembling mushroom caps. They are entirely peaceful unless attacked and roam quietly through regions like The Swamp and South Wetlands. These gentle giants can be found alone, in pairs, or sometimes in larger groups.",,,"Swamp Turtle, Swamp_Turtle","Animals, Characters"
Swampers,,"The Swampers are a loose collection of outcasts, criminals, and exiles living in The Swamp, ruled by five competing gang clans led by Big Bosses. Their society is violent and chaotic, with street fights breaking out over minor insults, and they commonly trade in fish and hashish. The gangs engage in smuggling, extortion, and kidnapping, with the Hounds gang currently holding the most power under Big Grim.",,,Swampers,"Factions, Swampers"
Tax Collector,,The United Cities sends tax collectors to outposts that have agreed to pay taxes or failed to pay previously. Refusing to pay or ignoring the collectors results in enforcement squads being sent to attack the outpost.,,,"Tax Collector, Tax_Collector",Events
Tech Hunters,,"The Tech Hunters are a small organization of adventurers who explore ancient ruins searching for lost technologies and artifacts. They control a few scattered towns and waystations, often working as mercenaries or shopkeepers selling adventuring gear. Their members can be found wandering the wilds or operating shops in various faction territories.",,,"Tech Hunters, Tech_Hunters",Factions
Telbooze,,"Telbooze was a small mountain town that once existed southeast of Brink, perched precariously on a mountainside. It was owned by Dead Cat despite the area being patrolled by Imperial Lords. The town no longer exists, though its structures were later reused elsewhere.",,,Telbooze,Removed Content
Tengu's Vault,,"Tengu's Vault is a military prison in the rocky Skimsands, guarded by United Cities Samurai and overseen by the Vault Warden. It holds the empire's worst criminals and is heavily restricted, with guards attacking trespassers on sight. The prison contains beds, training areas, cooking facilities, and cells spread across multiple floors.",,,"Tengu's Vault, Tengu's_Vault, Tengus Vault","Locations, United Cities"
The Bastion,,"The Bastion is a military outpost that serves as the base for the Cannibal Hunters faction. It sits on the border between Darkfinger and Sinkuun, near the town of Bast. The faction leader Robun can be found in the Bughouse there.",,,"The Bastion, The_Bastion",Locations
The Black Desert,,"The Black Desert is a poisonous wasteland neighboring the Deadlands and Iron Valleys, named for its dark sand and moving poison clouds that can harm anyone who breathes them. The land appears dead from old pollution, though strange red-leafed trees still grow among the lifeless ones. No towns or settlements exist here, and travelers must contend with toxic air that lingers in the region.",,,"The Black Desert, The_Black_Desert",Zones
The Blessing Of Slavery,,"A book written by Lord Inaba of the Inner Circle defending the United Cities' practice of slavery. The author argues that critics are hypocrites who benefit from slave labor while condemning it, and claims slavery brings prosperity by allowing efficient use of resources and land. The book is commonly found among United Cities vendors and officials.",,,"The Blessing Of Slavery, The_Blessing_Of_Slavery",Books
Burning Forest,,"The Burning Forest is a swampy woodland where acid rain falls frequently, giving the region its name. Blood Spiders infest the area, making it dangerous even when the weather clears. Ruins of old labs and farms can be found scattered throughout, though they are often guarded by security spiders.",,,"Burning Forest, Burning_Forest",Zones
Cannibal Plains,,"The Cannibal Plains are a dangerous region in the northwest where large groups of cannibals roam freely, often overwhelming travelers. Cannibal hunters sometimes venture here to track their prey, though they risk becoming victims themselves. The area also sees occasional shrieking bandits and berserkers mixed into the chaos.",,,"Cannibal Plains, Cannibal_Plains",Zones
The Cannibal Plains: De-evolution Of Man?,,"This book speculates on the origins of the painted cannibal tribes in the Cannibal Plains, questioning whether they descended from the ancient civilization that once operated the northern labs or invaded and destroyed it. The author considers possibilities like environmental toxins, failed experiments, or severe famine causing their savage state. Written by Finch, the leader of the Machinists, it reflects on whether the cannibals represent a devolution of humanity or simply outlasted more advanced peoples through brutal survival.",,,"The Cannibal Plains: De-evolution Of Man?, The_Cannibal_Plains:_De-evolution_Of_Man?, The Cannibal Plains Deevolution Of Man",Books
The Crags,,"The Crags is a harsh region dominated by Skeleton Bandits led by Elder, where Reavers and Crab Raiders frequently clash. If Elder falls, Skin Bandits and Southern Hive groups move into the area. Drifters from nearby Stobe's Gamble sometimes pass through, though not all are friendly.",,,"The Crags, The_Crags",Zones
The Crater,,"The Crater is a dangerous southwestern zone shaped like a bowl with high borders on all sides, making it hard to enter or exit. It's filled with Beak Things hunting Swamp Raptors among empty ruins. The area has no towns or settlements, only ancient ruins and wandering predators.",,,"The Crater, The_Crater",Zones
The Dancing Skeleton,,"The Dancing Skeleton is a bar located in Shark, a swamp city. It is run by Swampers with Empire Mercenaries keeping order among the gangs and rough crowds. The barman offers information about local gangs, and many potential recruits gather here, including thugs, mercenaries, and skeletons.",,,"The Dancing Skeleton, The_Dancing_Skeleton","Town Residents, Unique, Vendors"
United Cities,,"The United Cities is a large feudal empire that controls vast territories across the desert regions and beyond, ruled by Emperor Tengu and his nobles. It relies heavily on slavery and the powerful Traders Guild for wealth, treating poverty as a crime and enslaving those who cannot pay. The faction is locked in a frozen war with The Holy Nation after losing the region of Bast, and strictly outlaws hashish and hemp despite noble hypocrisy. Decades ago, a famine and rebellion nearly destroyed the empire, leading to Tengu's rise and an increased dependence on slave labor.",,,"United Cities, United_Cities","Factions, United Cities"
The Eye,,"The Eye is a desolate wilderness region centered around a massive fallen satellite structure shaped like a ring, obscured by constant sandstorms. Skeletons suggest a second Eye satellite still functions and fires the deadly laser beams over Venge. The area is empty of towns or outposts, inhabited only by wild animals and roaming bandits.",,,"The Eye, The_Eye",Zones
The Gorrillo Bandits,,"The Gorrillo Bandits are a hostile group operating in the southern regions of the world, based out of the Old Prison. They are martial artists who fight mostly unarmored, relying on hand-to-hand combat rather than weapons. This makes them vulnerable to ranged attacks but impossible to disarm in a fight.",,,"The Gorrillo Bandits, The_Gorrillo_Bandits",Factions
The Great Desert,,"The Great Desert is a vast, arid region in the northeastern corner of the continent, controlled by the United Cities who maintain their capital Heft and several towns throughout the dunes. The landscape is mostly barren and poor for farming, but rich in metal and stone deposits. Patrols of skimmers, rebel farmers, starving vagrants, manhunters, and sand ninjas roam the area, while slavers operate work camps and markets for their trade.",,,"The Great Desert, The_Great_Desert",Zones
The Great Fortress,,"The Great Fortress is a partially ruined Shek Kingdom outpost in the Stenn Desert. It appears to be a former stronghold that was destroyed and only partly rebuilt, with most buildings still in ruins. Only a police station and faction headquarters remain operational, and it serves as a nearby location to New Kralia for turning in criminals.",,,"The Great Fortress, The_Great_Fortress","Article stubs, Locations, Shek Kingdom"
The Grid,,"The Grid is a ruined area northeast of a great crater and southwest of the Swamp, marked by strange rock formations split in a grid-like pattern. The area is dangerous and largely uninhabited, with security spiders guarding the ruins.",,,"The Grid, The_Grid",Zones
The Guiding Light,,"The Guiding Light Series is a collection of books written by Holy Nation priests and theologians. They teach followers how to identify and deal with Skeletons, explain the religious views on Shek and Hivers as corrupted beings, and provide guidance on proper behavior according to Okran's teachings. These books reinforce the Holy Nation's ideology and are commonly found among their settlements.",,,"The Guiding Light Series, The_Guiding_Light_Series",Books
Hidden Forest,,"Hidden Forest is a sparse, rocky forested region known as the hideout of the Flotsam Ninjas. The area is plagued by Cannibals and dangerous river raptors near the northern coast. Local tales speak of it as a cursed land near the mouth of the abyss, filled with demons and unholy monsters.",,,"Hidden Forest, Hidden_Forest",Zones
The Holy Crusade,,"The Holy Crusade is a religious text written by the Holy Lord Phoenix calling for a campaign against the Shek Kingdom to end their raids and bring peace to Holy Nation lands. It declares that non-humans must be converted or destroyed as an act of mercy, sending their souls back to Okran for rebirth as humans. The text frames this war as obedience to their Creator and warns that dishonoring Okran threatens their civilization's survival.",,,"The Holy Crusade, The_Holy_Crusade",Books
The Hook,,"The Hook is a southern coastal region controlled by the United Cities, Traders Guild, and Slave Traders. It serves as one of the two main southern territories of the UC alongside the Bonefields. The area features small settlements and ancient ruins, with patrols similar to those found in the northern UC territories.",,,"The Hook, The_Hook","United Cities, WIP, Zones"
The Hub,,"The Hub is a ruined town in the Border Zone that once belonged to the Holy Nation before being taken over and later abandoned by the Shek Kingdom. After both factions left, outlaws moved into the ruins and made it their home. The bar is run by the Trade Ninjas, and old letters found in a small shack tell the story of how the town changed hands and was eventually deserted by both sides.",,,"The Hub, The_Hub",Locations
The Iron Trail,,"The Iron Trail is a narrow flatland stretching from the Cannibal Plains to the western sea, marked by sapphire-colored glassy ground and numerous iron spiders, both active and inactive. The land is mostly barren with sparse vegetation and no settlements, though ancient ruins can be found scattered throughout. Water is scarce despite decent soil, and the iron spiders make the region dangerous for travelers and wildlife alike.",,,"The Iron Trail, The_Iron_Trail",Zones
The Little Boy That Got Dismembered By Skeletons,,A popular children's book in the Holy Nation that tells the cautionary tale of a boy named Timmy who neglected his prayers and was dismembered by a Skeleton. The book is used to teach Holy Nation children to fear and hate Skeletons from a young age. It can be found with many vendors throughout the Holy Nation.,,,"The Little Boy That Got Dismembered By Skeletons, The_Little_Boy_That_Got_Dismembered_By_Skeletons","Books, Items"
The Lost Ancients,,"The Lost Ancients Series are books written by scholars studying two ancient civilizations, referred to as X and Y. Civilization X was far more advanced and long-lived, possibly dominated by skeletons, while Y appears to have been a crude attempt to rebuild after X's collapse. Some scholars theorize these two civilizations may have warred with each other, and that fragments of this history might be preserved in Okranite religious texts.",,,"The Lost Ancients Series, The_Lost_Ancients_Series","Books, Lore"
The Mystery Of Skeletech,,"This book series presents theories about how skeletons survived ancient catastrophes while their human masters perished. The authors suggest skeletons may have been born during the collapse, fled to safety, or simply endured conditions that killed biological life. Some scholars believe skeletons were designed to destroy the ancient civilization, whether through infiltration, rebellion, or madness.",,,"The Mystery Of Skeletech Series, The_Mystery_Of_Skeletech_Series","Books, Lore"
The Old Empire,,The Old Empire was an ancient faction that once controlled certain ruins and watchtowers now associated with the Second Empire. It appears to have been an earlier civilization that predated the Second Empire's rule over these territories.,,,"The Old Empire, The_Old_Empire",Removed Content
The Outlands,,"The Outlands is a rugged zone controlled by the minor faction Black Dog, and home to the Tech Hunters town of Black Scratch, which houses the Great Library. The area is dangerous due to frequent Reaver patrols who enslave those they defeat and steal their belongings. The terrain is difficult and can slow travelers down, making escape from raiders harder.",,,"The Outlands, The_Outlands","WIP, Zones"
The Pacifier: Guidance for a Troublemaker,,"This book tells the story of someone who angered both the Holy Nation and another major faction through a series of mishaps, then escaped trouble by paying off their problems. People in Kenshi generally understand The Pacifier: Guidance for a Troublemaker as part of Books.",,,"The Pacifier: Guidance for a Troublemaker, The_Pacifier:_Guidance_for_a_Troublemaker, The Pacifier Guidance for a Troublemaker",Books
The Pits,,"The Pits is a dangerous zone in the southeast Forbidden Zone where Skeleton Bandits and Crab Raiders frequently clash. Fishmen from nearby islands kidnap wounded organics from these battles, and Skin Bandits join in if Elder is gone. Drifters from Stobe's Gamble also roam here, though some are hostile to strangers.",,,"The Pits, The_Pits",Zones
The Preacher,,"The Preacher is a Hive Prince who leads the Preacher Cult from a small village in Stormgap Coast. They are wanted by the United Cities, Holy Nation, and Shek Kingdom for leading a nature cult believed responsible for the disappearance of hundreds of desert travelers. The Preacher wields a legendary Moon Cleaver and must be captured alive for interrogation.",,,"The Preacher, The_Preacher","Bosses, Bounty, Characters, Hivers, Meitou Wielders, Preacher Cult, Stormgap Coast, Unique"
The Queen,,"The Queen is the leader of the Western Hive and rules from her Hill Hut on an island west of Vain. She sits on a strange throne and only communicates through screeches, with royal guards protecting her presence. If she dies or is kidnapped, the Western Hive collapses, causing villages to fall to Fogmen and lost Hivers to wander the world mourning her absence.",,,"The Queen, The_Queen","Bosses, Characters, Hivers, Unique, Western Hive"
The Red Rebellion,,"The Red Rebellion was a violent uprising in the United Cities that occurred during a time of severe drought and famine. When the Traders Guild failed to deliver aid and the nobles hoarded what little food remained, the starving lower classes revolted against the ruling class. The rebellion was marked by widespread bloodshed and nearly destroyed the established order before it was suppressed.",,,"The Red Rebellion, The_Red_Rebellion",Books
The Shrieking Forest,,"The Shrieking Forest is a dense, fertile region north of the Fog Islands and west of the Floodlands. It is controlled by the Shrieking Bandits, who are fiercely territorial and attack anyone who enters their land. The forest is beautiful and supports excellent crop growth, but the constant screaming of its inhabitants makes it an unsettling place to settle.",,,"The Shrieking Forest, The_Shrieking_Forest",Zones
The Swamp,,"The Swamp is a foggy, densely vegetated region between the Border Zone and South Wetlands, known for its fertile farmland and abundant copper and iron deposits. It is controlled by the Swampers and various criminal gangs like the Hounds, who run hashish trade networks from cities like Shark. The area is dangerous due to frequent bandit patrols, hostile creatures like Blood Spiders and Swamp Raptors, and ancient ruins that may contain valuable loot or deadly guardians.",,,"The Swamp, The_Swamp",Zones
"The United Cities, A United Power",,"This book praises the United Cities as a nation ruled by the wealthy and powerful, claiming that money naturally flows to those who deserve it. It argues that the poor and weak belong in the mines, kept separate from the elite who enjoy power and luxury.",,,"The United Cities, A United Power, The_United_Cities,_A_United_Power, The United Cities A United Power",Books
The Unwanted Zone,,"The Unwanted Zone is a dangerous wilderness filled with beak things and crabs that constantly fight each other. The area has many nests where eggs can be gathered, but travelers usually avoid it due to the aggressive creatures. It lies between Stobe's Gamble and The Outlands, forcing those who pass through to either fight or take a longer route around.",,,"The Unwanted Zone, The_Unwanted_Zone",Zones
Thieves Guild,,"Thieves Guilds are watchtowers operated by the Shinobi Thieves found in many locations across the land. They serve as bases for the thieves and contain fences who buy and sell goods discreetly. Allying with the Shinobi Thieves grants access to their facilities, including training equipment and beds inside these watchtowers.",,,"Thieves Guild, Thieves_Guild","Town Residents, Vendors"
Thinfish,,"Thinfish are a type of fish found in the larger lakes of swamps and wetlands. They are called thinfish simply because they are thinner than the other common fish, the Grand Fish. They can be eaten as food or used to make dried fish.",,,Thinfish,"Items, Nutrition"
Thrall,,"Thralls are skeletons found in the Tower of Abuse, believed to be either jury-rigged or lobotomized by other skeletons. They carry weapons made by ancient or skeleton smiths and wear no armor. It is thought that weaker skeleton models were enslaved by their stronger cousins after the fall of the ancient empires.",,,Thrall,Characters
Thrall Masters,,Thrall Masters are a bandit faction made up of reprogrammed Skeletons who inhabit Venge and sometimes appear in the Grey Desert and The Eye. Their headquarters is the Tower of Abuse. They are hostile to everyone and will attack any character on sight.,,,"Thrall Masters, Thrall_Masters",Factions
Tinfist,,"Tinfist is a Skeleton and the leader of the Anti-Slavers, a faction that operates from the city of Spring in Stobe's Gamble. He is a master of Martial Arts and claims to have been trained by Gatwood the Soft, the founder of modern Martial Arts. Tinfist is wanted by the Traders Guild, United Cities, and Holy Nation for his radical anti-slavery activities, which many governing bodies consider acts of terrorism. He has an enormous bounty on his head and is known for leading raids to free slaves across the continent.",,,Tinfist,"Anti-Slavers, Bosses, Bounty, Characters, Superbosses, Unique"
Tooth Pick,,"The Tooth Pick is a cheap, lightweight crossbow commonly found in the swamps. It's not particularly powerful but can quickly fire bolts at close range before switching to melee weapons. A poorly made version of this design is known as the Junkbow.",,,"Tooth Pick, Tooth_Pick",Crossbows
Tora the Fearless,,"Tora the Fearless is a dishonored Shek warrior who leads the Band of Bones, a bandit group operating from an exile camp southwest of Squin. After being disgraced and having her horns removed, she refused to surrender her weapon as required by Shek law and chose self-exile and banditry over an honorless death. She is wanted by the Shek Kingdom and commands her outlaw band in the Stenn Desert region.",,,"Tora the Fearless, Tora_the_Fearless","Bosses, Bounty, Characters, Unique"
Tower Of Ninjas,,"The Tower of Ninjas is the stronghold of the Black Dragon Ninjas, located in the northeast Border Zone. The faction becomes hostile to intruders on sight. It is home to Dimak and Buzan, the leaders of the Black Dragon Ninjas, both wanted by the Holy Nation.",,,"Tower Of Ninjas, Tower_Of_Ninjas",Locations
Tower of Abuse,,"The Tower of Abuse is a ruined structure in Venge that serves as the base for the Thrall Masters faction. The leaders Screamer the False and Ponk reside inside, and the tower contains ancient technology and repair facilities. A captive named Agnu can be found imprisoned on the second level.",,,"Tower of Abuse, Tower_of_Abuse",Locations
